1901,137,551,95,348,670,1775,1570,1137,1491,1380,1805,557
1902,230,37,145,270,641,1289,2312,1473,1895,2645,1099,972
1903,120,31,1,140,1236,1601,2541,1817,2202,1697,2216,852
1904,196,3,52,219,1254,2035,1862,845,946,1753,103,230
1905,27,101,185,350,842,1706,1127,1804,858,2043,542,15
1906,374,137,106,62,356,1609,2173,2259,1127,1439,888,1130
1907,65,13,165,763,357,1842,1917,1684,1265,989,1318,469
1908,250,124,141,260,597,1258,2262,1310,1849,1674,241,65
1909,628,51,86,641,1590,1515,1952,2359,1536,949,437,250
1910,23,85,46,303,476,1830,2167,2095,1474,2556,1226,3
1911,10,7,76,256,749,1830,1758,811,1065,1455,1229,664
1912,24,33,48,277,552,1716,2096,1930,1530,2362,1567,103
1913,11,45,22,179,761,1243,1927,760,1347,2287,806,602
1914,17,10,31,265,593,1413,2189,1773,1740,1701,930,637
1915,370,97,470,357,619,1886,2167,1353,1929,1098,2339,215
1916,0,27,21,206,848,1804,2568,1720,1667,2468,1445,179
1917,36,319,189,102,801,2145,1281,2090,2203,1864,1385,229
1918,434,43,149,163,1640,1201,729,1082,1032,499,2497,467
1919,175,27,126,238,952,1471,2094,1145,1915,1401,2231,640
1920,628,28,40,482,481,1893,1592,1110,1445,1887,1941,22
1921,676,3,21,627,330,1300,2162,1928,1223,2219,792,224
1922,274,91,41,252,966,1559,2201,1184,828,1804,2566,250
1923,537,109,285,188,434,1316,2208,1598,1733,1781,721,540
1924,112,6,168,326,696,1835,2894,1568,2072,890,1585,217
1925,76,25,284,402,1220,1671,1799,1875,960,1701,1591,1027
1926,381,22,274,329,595,1414,2011,1495,1641,1217,585,95
1927,113,129,188,274,746,1806,2129,1187,1883,724,1636,115
1928,96,426,113,416,462,1408,1735,1706,925,2501,783,400
1929,84,250,98,809,624,2300,1595,1067,1728,1694,1206,421
1930,204,265,148,206,1815,1753,1166,930,1622,3516,1456,414
1931,101,0,18,391,673,1475,1908,1994,1520,1457,1518,1321
1932,4,266,64,325,1518,1072,1719,1783,1255,2140,1848,297
1933,8,24,238,404,1815,1695,2111,2120,1458,2305,703,671
1934,385,8,56,352,436,2024,1555,1181,549,2233,825,85
1935,200,14,68,404,236,1415,1744,1812,1186,2056,559,286
1936,24,431,335,222,1234,1801,1887,1107,1476,1299,1827,259
1937,45,190,168,1001,543,1192,2345,1135,1155,2031,1301,139
