1958,86.4,121.7,49.9,19.7,71.4,126.6,144.6,65.9,85.8,66.8,15.6,110
1959,89.7,2.2,38.4,88.5,26.7,30.7,33.5,18.8,0.6,57.4,106,116.8
1960,137.7,77.9,52.1,38.9,46.4,41.4,64.8,80.6,108.7,179,116.2,91.5
1961,96.1,63.1,14.3,84.1,42.9,33.9,55.7,62.2,53,94.9,42.3,75.5
1962,91.2,57.8,27.8,76.3,78.4,13.5,39.7,94.9,84.4,32,38.5,54.1
1963,46.8,28.3,72,60.3,31.5,99.1,68.6,60.1,79.5,39.4,132.5,18.7
1964,23.1,28.7,122.4,46.1,55.5,70.2,50.8,49.4,20.8,41.8,40.8,93.7
1965,90.1,22.4,74,50,68.2,91.8,58.9,49.2,167.4,27.5,147.5,191.5
1966,41.5,154.2,46.9,140.6,58.8,61.3,44.5,92.9,55.7,101.4,93.9,77.3
1967,49.7,70.9,57.8,32.7,172.6,13.7,40.9,70.3,62.5,115.5,71.4,44.7
1968,67.4,42.8,61.3,54.2,82.8,54.9,112.5,41.8,155.2,63.5,87.3,52.9
1969,85,101,119.9,76.1,99.1,62.5,52.6,48.5,38.9,24.7,163.7,72.7
1970,94.7,104,55.4,106.6,16.9,24.2,39.2,72.9,42.8,47.9,141.4,40.6
1971,69.3,26.7,47.2,84.1,63.5,69.4,86.3,102.2,31.2,92.8,62.6,35.1
1972,92.7,65.9,106.2,56.9,56.6,83.1,55.7,61.2,50.6,14.5,84.9,80.3
1973,39.8,65,15.1,77.5,59.5,44,200.6,58,58.1,63.3,28.8,51.6
1974,79.3,67.3,39.8,12.3,39.5,48.5,67.6,81,90.8,55.9,121.1,71.1
1975,73.2,15.8,58.8,46.9,86.2,11.9,81.9,51.2,34.6,27.2,28.6,43
1976,93.8,33.7,29.5,16.2,79.9,16.6,16.9,17.3,134.9,127.7,32.4,75.3
1977,113.8,201.4,59.7,45,43.5,66.4,9.5,69.2,35.2,45.4,112,82.5
1978,99.4,55.4,73.2,47.3,34.7,90,58.8,48.5,48.8,9.9,50,207.9
1979,82.3,78.6,148,83.1,115.5,34.9,13,79,25,66.4,96.9,137.7
1980,70.9,117.1,100.1,10.6,20.5,132.8,66.9,79,33.2,113.2,81.8,51.7
1981,56.4,89.4,149.9,110.5,65.3,33.4,18.8,57.2,107.8,87.9,70.4,93.6
